Name of the city,|1993_Q1 num of people|,|1993_Q1 total price|,|1993_Q2 num of people|,|1993_Q2 total price|,|1993_Q3 num of people|,|1993_Q3 total price|,|1993_Q4 num of people|,|1993_Q4 total price|,|2015_Q1 num of people|,|2015_Q1 total price|,|2015_Q2 num of people|,|2015_Q2 total price|,|2015_Q3 num of people|,|2015_Q3 total price|,|2015_Q4 num of people|,|2015_Q4 total price|,
Columbus, MS: Columbus-Lowndes County,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gloucester/Cheltenham, United Kingdom: Gloucestershire,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nashville, TN: John C Tune,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Honolulu, HI: Honolulu International,132077.0,7112778.640000005,134604.0,8887166.040000027,148103.0,8295935.43,133303.0,8425144.110000005,117972.0,19168892.900000017,127218.0,23298926.439999998,126479.0,21062016.34999999,129751.0,22732946.74000001,
Bhavnagar, India: Bhavnagar Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ilorin, Nigeria: Ilorin Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Patterson, LA: Harry P Williams Memorial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Miles City, MT: Frank Wiley Field,7.0,1742.16,7.0,1218.02,6.0,1121.19,10.0,2443.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hana, HI: Hana Airport,289.0,8166.029999999999,185.0,8330.46,198.0,9458.03,114.0,3670.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Malolo Lailai, Fiji: Malolo Lailai Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ashland, WV: Tri-State/Milton J. Ferguson Field,1468.0,263257.86000000016,1737.0,272082.17000000004,1831.0,312806.59999999986,1797.0,307269.8300000001,2185.0,216299.48000000007,3137.0,269502.60000000003,3064.0,235702.64,1843.0,214178.1199999999,
